magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
6.7,7.0,6.0,691.0,0.0,6.697,19.0,24.0,-14.0683,166.624,2016.0,4.0,1
6.9,7.0,6.0,734.0,0.0,1.166,25.0,26.0,-14.3235,166.855,2016.0,4.0,1
7.8,4.0,3.0,948.0,0.0,7.009,20.0,24.0,-4.9521,94.3299,2016.0,3.0,0
7.2,3.0,7.0,799.0,0.0,0.958,17.0,177.0,53.9776,158.546,2016.0,,1
7.1,7.0,,1496.0,0.0,0.0,0.0,125.6,59.6204,-153.339,2016.0,1.0,1
6.6,3.0,4.0,673.0,0.0,2.413,74.0,10.0,18.8239,-106.934,2016.0,1.0,1
6.7,5.0,6.0,717.0,0.0,0.281,22.0,46.0,41.9723,142.781,,1.0,1
6.5,3.0,6.0,651.0,0.0,,22.0,13.0,3.8965,126.862,2016.0,1.0,1
6.7,8.0,7.0,1515.0,0.0,1.794,16.0,55.0,24.8036,93.6505,2016.0,1.0,0
6.6,8.0,6.0,765.0,0.0,0.41,35.0,85.0,15.8015,-93.633,,12.0,1
6.9,8.0,5.0,738.0,0.0,2.979,14.0,21.0,-4.1064,129.508,2015.0,,0
